impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
pivot_n5_8,2015-07-28 00:00:00+00:00,298.0,2015-08-25 00:00:00+00:00,198.02,28,-99.97999999999999,-3.5707142857142853,-0.014597337528965562,0.025321381376442534,pivot_n5,down,8,36
pivot_n5_12,2015-08-01 00:00:00+00:00,277.26,2015-11-04 00:00:00+00:00,499.99,95,222.73000000000002,2.344526315789474,0.006206656885389044,0.03062458357999874,pivot_n5,up,12,107
pivot_n5_19,2015-08-08 00:00:00+00:00,260.07,2015-11-04 00:00:00+00:00,499.99,88,239.92000000000002,2.7263636363636365,0.0074276962803810275,0.03427507346424996,pivot_n5,up,19,107
pivot_n5_29,2015-08-18 00:00:00+00:00,200.0,2015-11-04 00:00:00+00:00,499.99,78,299.99,3.846025641025641,0.011747060662489133,0.04552110065167187,pivot_n5,up,29,107
pivot_n5_36,2015-08-25 00:00:00+00:00,198.02,2015-11-04 00:00:00+00:00,499.99,71,301.97,4.253098591549296,0.013045352993349583,0.04802727015402789,pivot_n5,up,36,107
pivot_n5_39,2015-08-28 00:00:00+00:00,236.18,2015-09-22 00:00:00+00:00,224.45,25,-11.730000000000018,-0.4692000000000007,-0.0020376504378077816,0.003143990936759781,pivot_n5,down,39,64
pivot_n5_50,2015-09-08 00:00:00+00:00,247.82,2015-09-22 00:00:00+00:00,224.45,14,-23.370000000000005,-1.6692857142857147,-0.007074979354314696,0.008370433919272932,pivot_n5,down,50,64
pivot_n5_58,2015-09-16 00:00:00+00:00,226.85,2015-11-04 00:00:00+00:00,499.99,49,273.14,5.574285714285714,0.01612855290024931,0.052292636978843336,pivot_n5,up,58,107
pivot_n5_64,2015-09-22 00:00:00+00:00,224.45,2015-11-04 00:00:00+00:00,499.99,43,275.54,6.4079069767441865,0.0186263984417267,0.056312356798769586,pivot_n5,up,64,107
pivot_n5_71,2015-09-29 00:00:00+00:00,241.05,2015-09-30 00:00:00+00:00,236.26,1,-4.7900000000000205,-4.7900000000000205,-0.02007148733125749,0.006419316533281923,pivot_n5,down,71,72
pivot_n5_107,2015-11-04 00:00:00+00:00,499.99,2015-11-11 00:00:00+00:00,293.32,7,-206.67000000000002,-29.524285714285718,-0.07618913357094148,0.10468433464831725,pivot_n5,down,107,114
pivot_n5_114,2015-11-11 00:00:00+00:00,293.32,2016-05-29 00:00:00+00:00,549.99,200,256.67,1.28335,0.003143179665087224,0.024322790013206367,pivot_n5,up,114,314
pivot_n5_123,2015-11-20 00:00:00+00:00,311.23,2016-06-04 00:00:00+00:00,594.64,197,283.40999999999997,1.4386294416243652,0.0032864162016792097,0.027060469953992524,pivot_n5,up,123,320
pivot_n5_135,2015-12-02 00:00:00+00:00,347.55,2016-06-18 00:00:00+00:00,785.15,199,437.59999999999997,2.198994974874372,0.004095307752685768,0.041572300011277055,pivot_n5,up,135,334
pivot_n5_145,2015-12-12 00:00:00+00:00,469.34,2016-01-16 00:00:00+00:00,350.92,35,-118.41999999999996,-3.38342857142857,-0.008307690720979023,0.02682528299085611,pivot_n5,down,145,180
pivot_n5_152,2015-12-19 00:00:00+00:00,465.6,2016-01-16 00:00:00+00:00,350.92,28,-114.68,-4.095714285714286,-0.01009887925560875,0.029044369036311565,pivot_n5,down,152,180
pivot_n5_159,2015-12-26 00:00:00+00:00,410.0,2016-06-18 00:00:00+00:00,785.15,175,375.15,2.1437142857142857,0.0037126721293291964,0.038004865866663004,pivot_n5,up,159,334
pivot_n5_172,2016-01-08 00:00:00+00:00,464.4,2016-01-16 00:00:00+00:00,350.92,8,-113.47999999999996,-14.184999999999995,-0.03502349657044415,0.05376846165696531,pivot_n5,down,172,180
pivot_n5_180,2016-01-16 00:00:00+00:00,350.92,2016-06-18 00:00:00+00:00,785.15,154,434.22999999999996,2.8196753246753246,0.005229327955005063,0.04689351008019715,pivot_n5,up,180,334
pivot_n5_193,2016-01-29 00:00:00+00:00,363.25,2016-06-18 00:00:00+00:00,785.15,141,421.9,2.9921985815602836,0.005466549502699082,0.04761603696679636,pivot_n5,up,193,334
pivot_n5_199,2016-02-04 00:00:00+00:00,390.63,2016-02-11 00:00:00+00:00,360.0,7,-30.629999999999995,-4.3757142857142854,-0.011665255565512992,0.015514981227454186,pivot_n5,down,199,206
