impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
zigzag_pct20.0_8,2015-07-28 00:00:00+00:00,298.0,2015-08-25 00:00:00+00:00,198.02,28,-99.97999999999999,-3.5707142857142853,-0.014597337528965562,0.025321381376442534,zigzag_pct20.0,down,8,36
zigzag_pct20.0_36,2015-08-25 00:00:00+00:00,198.02,2015-11-04 00:00:00+00:00,499.99,71,301.97,4.253098591549296,0.013045352993349583,0.04802727015402789,zigzag_pct20.0,up,36,107
zigzag_pct20.0_107,2015-11-04 00:00:00+00:00,499.99,2015-11-11 00:00:00+00:00,293.32,7,-206.67000000000002,-29.524285714285718,-0.07618913357094148,0.10468433464831725,zigzag_pct20.0,down,107,114
zigzag_pct20.0_114,2015-11-11 00:00:00+00:00,293.32,2016-05-29 00:00:00+00:00,549.99,200,256.67,1.28335,0.003143179665087224,0.024322790013206367,zigzag_pct20.0,up,114,314
zigzag_pct20.0_145,2015-12-12 00:00:00+00:00,469.34,2016-01-16 00:00:00+00:00,350.92,35,-118.41999999999996,-3.38342857142857,-0.008307690720979023,0.02682528299085611,zigzag_pct20.0,down,145,180
zigzag_pct20.0_180,2016-01-16 00:00:00+00:00,350.92,2016-06-18 00:00:00+00:00,785.15,154,434.22999999999996,2.8196753246753246,0.005229327955005063,0.04689351008019715,zigzag_pct20.0,up,180,334
zigzag_pct20.0_320,2016-06-04 00:00:00+00:00,594.64,2016-06-07 00:00:00+00:00,475.0,3,-119.63999999999999,-39.879999999999995,-0.07488045879413226,0.09256974228271082,zigzag_pct20.0,down,320,323
zigzag_pct20.0_323,2016-06-07 00:00:00+00:00,475.0,2016-12-23 00:00:00+00:00,918.5,199,443.5,2.228643216080402,0.00331370402321879,0.04213280405621886,zigzag_pct20.0,up,323,522
zigzag_pct20.0_334,2016-06-18 00:00:00+00:00,785.15,2016-08-02 00:00:00+00:00,483.0,45,-302.15,-6.714444444444444,-0.010796847303964225,0.06036283370560365,zigzag_pct20.0,down,334,379
zigzag_pct20.0_339,2016-06-23 00:00:00+00:00,544.13,2017-01-05 00:00:00+00:00,1175.0,196,630.87,3.2187244897959184,0.003927730804505124,0.060390012248009994,zigzag_pct20.0,up,339,535
zigzag_pct20.0_349,2016-07-03 00:00:00+00:00,705.25,2016-08-02 00:00:00+00:00,483.0,30,-222.25,-7.408333333333333,-0.012617856540984431,0.05437940106089829,zigzag_pct20.0,down,349,379
zigzag_pct20.0_379,2016-08-02 00:00:00+00:00,483.0,2017-01-05 00:00:00+00:00,1175.0,156,692.0,4.435897435897436,0.005698761364908248,0.07425010513299711,zigzag_pct20.0,up,379,535
zigzag_pct20.0_535,2017-01-05 00:00:00+00:00,1175.0,2017-04-15 00:00:00+00:00,0.06,100,-1174.94,-11.749400000000001,-0.09882434143338296,0.1574595358583347,zigzag_pct20.0,down,535,635
zigzag_pct20.0_542,2017-01-12 00:00:00+00:00,734.64,2017-06-12 00:00:00+00:00,2999.99,151,2265.35,15.0023178807947,0.009317772523219145,0.24705867884302438,zigzag_pct20.0,up,542,693
zigzag_pct20.0_599,2017-03-10 00:00:00+00:00,1360.0,2017-04-15 00:00:00+00:00,0.06,36,-1359.94,-37.77611111111111,-0.2785736304302815,0.30375383877075096,zigzag_pct20.0,down,599,635
