impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
pivot_n5_6,2015-07-22 06:00:00+00:00,275.01,2015-07-28 00:00:00+00:00,298.0,23,22.99000000000001,0.9995652173913048,0.0034906967766787215,0.014034858821794546,pivot_n5,up,6,29
pivot_n5_26,2015-07-27 06:00:00+00:00,287.24,2015-07-28 00:00:00+00:00,298.0,3,10.759999999999991,3.586666666666664,0.012258461087762539,0.018187987166179767,pivot_n5,up,26,29
pivot_n5_29,2015-07-28 00:00:00+00:00,298.0,2015-08-25 00:00:00+00:00,198.02,112,-99.97999999999999,-0.8926785714285713,-0.0036493343822413906,0.02765904087968621,pivot_n5,down,29,141
pivot_n5_47,2015-08-01 12:00:00+00:00,277.26,2015-08-04 18:00:00+00:00,286.47,13,9.210000000000036,0.7084615384615413,0.0025137018861531484,0.007478611089170826,pivot_n5,up,47,60
pivot_n5_57,2015-08-04 00:00:00+00:00,280.11,2015-08-04 18:00:00+00:00,286.47,3,6.360000000000014,2.1200000000000045,0.007483811822092231,0.010750520295251271,pivot_n5,up,57,60
pivot_n5_60,2015-08-04 18:00:00+00:00,286.47,2015-08-25 00:00:00+00:00,198.02,81,-88.45000000000002,-1.0919753086419755,-0.004558836826368546,0.02877321049823682,pivot_n5,down,60,141
pivot_n5_76,2015-08-08 18:00:00+00:00,260.07,2015-08-12 00:00:00+00:00,272.4,13,12.329999999999984,0.9484615384615372,0.0035631345174383547,0.010012081946740043,pivot_n5,up,76,89
pivot_n5_89,2015-08-12 00:00:00+00:00,272.4,2015-08-25 00:00:00+00:00,198.02,52,-74.37999999999997,-1.4303846153846147,-0.006132760357326703,0.030198647818269468,pivot_n5,down,89,141
pivot_n5_97,2015-08-14 00:00:00+00:00,262.5,2015-08-14 12:00:00+00:00,267.98,2,5.480000000000018,2.740000000000009,0.010330634414391766,0.011344844715137277,pivot_n5,up,97,99
pivot_n5_116,2015-08-18 18:00:00+00:00,200.0,2015-10-06 12:00:00+00:00,248.0,195,48.0,0.24615384615384617,0.0011031352800869,0.010063682502018017,pivot_n5,up,116,311
pivot_n5_141,2015-08-25 00:00:00+00:00,198.02,2015-10-14 00:00:00+00:00,251.73,200,53.70999999999998,0.2685499999999999,0.001199945244278595,0.011119189957117172,pivot_n5,up,141,341
pivot_n5_147,2015-08-26 12:00:00+00:00,231.97,2015-08-28 00:00:00+00:00,221.2,6,-10.77000000000001,-1.7950000000000017,-0.007923463885333203,0.012872801523292553,pivot_n5,down,147,153
pivot_n5_153,2015-08-28 00:00:00+00:00,221.2,2015-10-17 00:00:00+00:00,273.0,200,51.80000000000001,0.25900000000000006,0.0010520226276839004,0.010723776573797613,pivot_n5,up,153,353
pivot_n5_155,2015-08-28 12:00:00+00:00,236.18,2015-09-22 06:00:00+00:00,224.45,99,-11.730000000000018,-0.11848484848484866,-0.0005145581913656013,0.003451543966796628,pivot_n5,down,155,254
pivot_n5_166,2015-08-31 06:00:00+00:00,225.23,2015-10-17 12:00:00+00:00,274.81,189,49.58000000000001,0.2623280423280424,0.0010526870236756405,0.010558655383046895,pivot_n5,up,166,355
pivot_n5_169,2015-09-01 00:00:00+00:00,233.5,2015-09-22 06:00:00+00:00,224.45,85,-9.050000000000011,-0.10647058823529425,-0.0004650483750707171,0.002873903037912575,pivot_n5,down,169,254
pivot_n5_176,2015-09-02 18:00:00+00:00,231.43,2015-09-22 06:00:00+00:00,224.45,78,-6.980000000000018,-0.08948717948717973,-0.0003926216251747392,0.0023138815137396913,pivot_n5,down,176,254
pivot_n5_180,2015-09-03 18:00:00+00:00,226.48,2015-10-23 06:00:00+00:00,281.17,198,54.690000000000026,0.27621212121212135,0.0010924385242855933,0.011379110724800256,pivot_n5,up,180,378
pivot_n5_191,2015-09-06 12:00:00+00:00,244.82,2015-09-22 06:00:00+00:00,224.45,63,-20.370000000000005,-0.3233333333333334,-0.001378893355863894,0.007513698242571291,pivot_n5,down,191,254
pivot_n5_198,2015-09-08 06:00:00+00:00,247.82,2015-09-22 06:00:00+00:00,224.45,56,-23.370000000000005,-0.4173214285714287,-0.001768744838578674,0.009143188932388677,pivot_n5,down,198,254
pivot_n5_206,2015-09-10 06:00:00+00:00,236.69,2015-10-30 00:00:00+00:00,336.97,199,100.28000000000003,0.5039195979899499,0.0017750886309625357,0.020812333773930162,pivot_n5,up,206,405
pivot_n5_211,2015-09-11 12:00:00+00:00,241.54,2015-09-22 06:00:00+00:00,224.45,43,-17.090000000000003,-0.39744186046511637,-0.001706561060913677,0.0076302862366325434,pivot_n5,down,211,254
pivot_n5_222,2015-09-14 06:00:00+00:00,228.01,2015-11-03 06:00:00+00:00,387.0,200,158.99,0.79495,0.0026451760269401233,0.03291454126386259,pivot_n5,up,222,422
pivot_n5_231,2015-09-16 12:00:00+00:00,226.85,2015-11-04 12:00:00+00:00,499.99,196,273.14,1.3935714285714285,0.0040321382250623275,0.05712027169457775,pivot_n5,up,231,427
pivot_n5_236,2015-09-17 18:00:00+00:00,235.93,2015-09-22 06:00:00+00:00,224.45,18,-11.480000000000018,-0.6377777777777788,-0.002771232535037825,0.007922069180643294,pivot_n5,down,236,254
pivot_n5_247,2015-09-20 12:00:00+00:00,234.0,2015-09-22 06:00:00+00:00,224.45,7,-9.550000000000011,-1.3642857142857159,-0.005952592875680055,0.01056786718947804,pivot_n5,down,247,254
pivot_n5_254,2015-09-22 06:00:00+00:00,224.45,2015-11-04 12:00:00+00:00,499.99,173,275.54,1.5927167630057804,0.004629682849677735,0.06133305502595575,pivot_n5,up,254,427
pivot_n5_257,2015-09-23 00:00:00+00:00,233.0,2015-09-23 06:00:00+00:00,229.27,1,-3.7299999999999898,-3.7299999999999898,-0.016138105231129806,0.010920482492095051,pivot_n5,down,257,258
pivot_n5_267,2015-09-25 12:00:00+00:00,237.62,2015-09-27 18:00:00+00:00,233.2,9,-4.420000000000016,-0.4911111111111129,-0.00208625606153379,0.004313541788655981,pivot_n5,down,267,276
pivot_n5_276,2015-09-27 18:00:00+00:00,233.2,2015-11-04 12:00:00+00:00,499.99,151,266.79,1.7668211920529802,0.005050938038051999,0.06356441706158723,pivot_n5,up,276,427
