origin_time,origin_price,origin_type,detector_name,quality_score,bar_index
2015-07-28 00:00:00+00:00,298.0,high,zigzag_pct20.0,1.0,8
2015-08-25 00:00:00+00:00,198.02,low,zigzag_pct20.0,1.0,36
2015-11-04 00:00:00+00:00,499.99,high,zigzag_pct20.0,1.0,107
2015-11-11 00:00:00+00:00,293.32,low,zigzag_pct20.0,1.0,114
2015-12-12 00:00:00+00:00,469.34,high,zigzag_pct20.0,1.0,145
2016-01-16 00:00:00+00:00,350.92,low,zigzag_pct20.0,1.0,180
2016-06-04 00:00:00+00:00,594.64,high,zigzag_pct20.0,1.0,320
2016-06-07 00:00:00+00:00,475.0,low,zigzag_pct20.0,1.0,323
2016-06-18 00:00:00+00:00,785.15,high,zigzag_pct20.0,1.0,334
2016-06-23 00:00:00+00:00,544.13,low,zigzag_pct20.0,1.0,339
2016-07-03 00:00:00+00:00,705.25,high,zigzag_pct20.0,1.0,349
2016-08-02 00:00:00+00:00,483.0,low,zigzag_pct20.0,1.0,379
2017-01-05 00:00:00+00:00,1175.0,high,zigzag_pct20.0,1.0,535
2017-01-12 00:00:00+00:00,734.64,low,zigzag_pct20.0,1.0,542
2017-03-10 00:00:00+00:00,1360.0,high,zigzag_pct20.0,1.0,599
2017-03-18 00:00:00+00:00,919.44,low,zigzag_pct20.0,1.0,607
2017-03-21 00:00:00+00:00,1120.0,high,zigzag_pct20.0,1.0,610
2017-03-25 00:00:00+00:00,890.05,low,zigzag_pct20.0,1.0,614
2017-04-11 00:00:00+00:00,1234.0,high,zigzag_pct20.0,1.0,631
2017-04-15 00:00:00+00:00,0.06,low,zigzag_pct20.0,1.0,635
2017-05-25 00:00:00+00:00,2806.0,high,zigzag_pct20.0,1.0,675
2017-05-27 00:00:00+00:00,1913.19,low,zigzag_pct20.0,1.0,677
2017-06-12 00:00:00+00:00,2999.99,high,zigzag_pct20.0,1.0,693
2017-06-15 00:00:00+00:00,2050.0,low,zigzag_pct20.0,1.0,696
2017-06-21 00:00:00+00:00,2781.59,high,zigzag_pct20.0,1.0,702
2017-07-16 00:00:00+00:00,1758.2,low,zigzag_pct20.0,1.0,727
2017-09-02 00:00:00+00:00,4980.0,high,zigzag_pct20.0,1.0,775
2017-09-15 00:00:00+00:00,2975.01,low,zigzag_pct20.0,1.0,788
2017-11-08 00:00:00+00:00,7898.0,high,zigzag_pct20.0,1.0,842
2017-11-12 00:00:00+00:00,5511.11,low,zigzag_pct20.0,1.0,846
2017-11-29 00:00:00+00:00,11485.0,high,zigzag_pct20.0,1.0,863
2017-11-30 00:00:00+00:00,9135.6,low,zigzag_pct20.0,1.0,864
