origin_time,origin_price,origin_type,detector_name,quality_score,bar_index
2015-07-28 00:00:00+00:00,298.0,high,zigzag_pct5.0,1.0,29
2015-08-18 18:00:00+00:00,200.0,low,zigzag_pct5.0,1.0,116
2015-08-19 00:00:00+00:00,238.99,high,zigzag_pct5.0,1.0,117
2015-08-19 18:00:00+00:00,222.11,low,zigzag_pct5.0,1.0,120
2015-08-20 06:00:00+00:00,238.2,high,zigzag_pct5.0,1.0,122
2015-08-25 00:00:00+00:00,198.02,low,zigzag_pct5.0,1.0,141
2015-09-08 06:00:00+00:00,247.82,high,zigzag_pct5.0,1.0,198
2015-09-22 06:00:00+00:00,224.45,low,zigzag_pct5.0,1.0,254
2015-10-30 00:00:00+00:00,336.97,high,zigzag_pct5.0,1.0,405
2015-10-30 12:00:00+00:00,316.49,low,zigzag_pct5.0,1.0,407
2015-10-31 00:00:00+00:00,334.28,high,zigzag_pct5.0,1.0,409
2015-10-31 18:00:00+00:00,306.29,low,zigzag_pct5.0,1.0,412
2015-11-04 12:00:00+00:00,499.99,high,zigzag_pct5.0,1.0,427
2015-11-04 18:00:00+00:00,368.15,low,zigzag_pct5.0,1.0,428
2015-11-05 00:00:00+00:00,450.0,high,zigzag_pct5.0,1.0,429
2015-11-05 06:00:00+00:00,366.66,low,zigzag_pct5.0,1.0,430
2015-11-05 18:00:00+00:00,417.12,high,zigzag_pct5.0,1.0,432
2015-11-06 00:00:00+00:00,351.0,low,zigzag_pct5.0,1.0,433
2015-11-06 12:00:00+00:00,395.0,high,zigzag_pct5.0,1.0,435
2015-11-06 18:00:00+00:00,362.11,low,zigzag_pct5.0,1.0,436
2015-11-07 06:00:00+00:00,392.0,high,zigzag_pct5.0,1.0,438
2015-11-09 00:00:00+00:00,360.8,low,zigzag_pct5.0,1.0,445
2015-11-09 12:00:00+00:00,386.96,high,zigzag_pct5.0,1.0,447
2015-11-11 00:00:00+00:00,293.32,low,zigzag_pct5.0,1.0,453
2015-11-11 06:00:00+00:00,326.99,high,zigzag_pct5.0,1.0,454
2015-11-11 18:00:00+00:00,302.42,low,zigzag_pct5.0,1.0,456
2015-11-12 06:00:00+00:00,344.99,high,zigzag_pct5.0,1.0,458
2015-11-12 12:00:00+00:00,324.64,low,zigzag_pct5.0,1.0,459
2015-11-13 00:00:00+00:00,343.0,high,zigzag_pct5.0,1.0,461
2015-11-16 00:00:00+00:00,316.12,low,zigzag_pct5.0,1.0,473
2015-11-17 00:00:00+00:00,340.72,high,zigzag_pct5.0,1.0,477
2015-11-20 00:00:00+00:00,311.23,low,zigzag_pct5.0,1.0,489
2015-11-26 12:00:00+00:00,368.18,high,zigzag_pct5.0,1.0,515
2015-11-26 18:00:00+00:00,341.65,low,zigzag_pct5.0,1.0,516
2015-11-30 06:00:00+00:00,382.87,high,zigzag_pct5.0,1.0,530
2015-12-02 00:00:00+00:00,347.55,low,zigzag_pct5.0,1.0,537
2015-12-06 00:00:00+00:00,401.01,high,zigzag_pct5.0,1.0,553
2015-12-06 12:00:00+00:00,375.22,low,zigzag_pct5.0,1.0,555
2015-12-09 06:00:00+00:00,425.0,high,zigzag_pct5.0,1.0,566
2015-12-09 18:00:00+00:00,401.0,low,zigzag_pct5.0,1.0,568
2015-12-12 00:00:00+00:00,469.34,high,zigzag_pct5.0,1.0,577
2015-12-12 06:00:00+00:00,407.4,low,zigzag_pct5.0,1.0,578
2015-12-15 18:00:00+00:00,464.95,high,zigzag_pct5.0,1.0,592
2015-12-16 00:00:00+00:00,440.0,low,zigzag_pct5.0,1.0,593
2015-12-19 12:00:00+00:00,465.6,high,zigzag_pct5.0,1.0,607
2015-12-21 00:00:00+00:00,424.66,low,zigzag_pct5.0,1.0,613
2015-12-24 06:00:00+00:00,460.0,high,zigzag_pct5.0,1.0,626
2015-12-26 12:00:00+00:00,410.0,low,zigzag_pct5.0,1.0,635
2016-01-08 00:00:00+00:00,464.4,high,zigzag_pct5.0,1.0,685
2016-01-16 06:00:00+00:00,350.92,low,zigzag_pct5.0,1.0,718
2016-01-17 00:00:00+00:00,391.0,high,zigzag_pct5.0,1.0,721
2016-01-20 00:00:00+00:00,369.0,low,zigzag_pct5.0,1.0,733
2016-01-20 18:00:00+00:00,425.1,high,zigzag_pct5.0,1.0,736
2016-01-22 18:00:00+00:00,373.86,low,zigzag_pct5.0,1.0,744
2016-01-24 12:00:00+00:00,406.93,high,zigzag_pct5.0,1.0,751
2016-01-29 00:00:00+00:00,363.25,low,zigzag_pct5.0,1.0,769
2016-01-29 06:00:00+00:00,385.05,high,zigzag_pct5.0,1.0,770
2016-01-31 18:00:00+00:00,365.0,low,zigzag_pct5.0,1.0,780
2016-02-04 18:00:00+00:00,390.63,high,zigzag_pct5.0,1.0,796
2016-02-11 18:00:00+00:00,360.0,low,zigzag_pct5.0,1.0,824
2016-02-21 06:00:00+00:00,448.7,high,zigzag_pct5.0,1.0,862
2016-02-24 00:00:00+00:00,410.0,low,zigzag_pct5.0,1.0,873
2016-02-29 06:00:00+00:00,442.0,high,zigzag_pct5.0,1.0,894
2016-03-05 12:00:00+00:00,381.09,low,zigzag_pct5.0,1.0,915
2016-03-12 00:00:00+00:00,421.3,high,zigzag_pct5.0,1.0,941
2016-03-18 18:00:00+00:00,399.21,low,zigzag_pct5.0,1.0,968
2016-04-25 18:00:00+00:00,472.38,high,zigzag_pct5.0,1.0,1120
2016-04-27 18:00:00+00:00,434.0,low,zigzag_pct5.0,1.0,1128
2016-05-09 18:00:00+00:00,465.9,high,zigzag_pct5.0,1.0,1176
2016-05-19 18:00:00+00:00,435.0,low,zigzag_pct5.0,1.0,1216
2016-05-28 18:00:00+00:00,539.49,high,zigzag_pct5.0,1.0,1252
2016-05-29 00:00:00+00:00,491.01,low,zigzag_pct5.0,1.0,1253
2016-05-29 18:00:00+00:00,549.99,high,zigzag_pct5.0,1.0,1256
2016-05-30 00:00:00+00:00,519.0,low,zigzag_pct5.0,1.0,1257
2016-06-04 06:00:00+00:00,594.64,high,zigzag_pct5.0,1.0,1278
2016-06-07 12:00:00+00:00,475.0,low,zigzag_pct5.0,1.0,1291
2016-06-13 12:00:00+00:00,720.0,high,zigzag_pct5.0,1.0,1315
2016-06-14 12:00:00+00:00,650.02,low,zigzag_pct5.0,1.0,1319
2016-06-17 00:00:00+00:00,778.5,high,zigzag_pct5.0,1.0,1329
2016-06-17 06:00:00+00:00,709.01,low,zigzag_pct5.0,1.0,1330
2016-06-18 18:00:00+00:00,785.15,high,zigzag_pct5.0,1.0,1336
2016-06-20 12:00:00+00:00,701.01,low,zigzag_pct5.0,1.0,1343
2016-06-20 18:00:00+00:00,746.42,high,zigzag_pct5.0,1.0,1344
2016-06-21 00:00:00+00:00,650.0,low,zigzag_pct5.0,1.0,1345
2016-06-21 06:00:00+00:00,712.86,high,zigzag_pct5.0,1.0,1346
2016-06-21 12:00:00+00:00,628.6,low,zigzag_pct5.0,1.0,1347
2016-06-22 00:00:00+00:00,679.99,high,zigzag_pct5.0,1.0,1349
2016-06-23 00:00:00+00:00,544.13,low,zigzag_pct5.0,1.0,1353
2016-06-24 00:00:00+00:00,700.0,high,zigzag_pct5.0,1.0,1357
2016-06-24 12:00:00+00:00,641.0,low,zigzag_pct5.0,1.0,1359
2016-06-25 00:00:00+00:00,699.0,high,zigzag_pct5.0,1.0,1361
2016-06-26 12:00:00+00:00,625.01,low,zigzag_pct5.0,1.0,1367
2016-06-28 00:00:00+00:00,663.53,high,zigzag_pct5.0,1.0,1373
2016-06-29 00:00:00+00:00,630.02,low,zigzag_pct5.0,1.0,1377
2016-07-03 00:00:00+00:00,705.25,high,zigzag_pct5.0,1.0,1393
2016-07-03 12:00:00+00:00,651.0,low,zigzag_pct5.0,1.0,1395
2016-07-04 12:00:00+00:00,683.69,high,zigzag_pct5.0,1.0,1399
2016-07-07 18:00:00+00:00,611.94,low,zigzag_pct5.0,1.0,1412
2016-07-08 18:00:00+00:00,667.33,high,zigzag_pct5.0,1.0,1416
2016-07-09 12:00:00+00:00,608.0,low,zigzag_pct5.0,1.0,1419
2016-07-12 18:00:00+00:00,675.5,high,zigzag_pct5.0,1.0,1432
2016-07-14 00:00:00+00:00,640.0,low,zigzag_pct5.0,1.0,1437
2016-07-18 00:00:00+00:00,684.94,high,zigzag_pct5.0,1.0,1453
2016-08-02 18:00:00+00:00,483.0,low,zigzag_pct5.0,1.0,1516
2016-08-04 00:00:00+00:00,599.95,high,zigzag_pct5.0,1.0,1521
2016-08-04 18:00:00+00:00,562.11,low,zigzag_pct5.0,1.0,1524
2016-08-10 12:00:00+00:00,601.09,high,zigzag_pct5.0,1.0,1547
2016-08-15 12:00:00+00:00,561.56,low,zigzag_pct5.0,1.0,1567
2016-09-08 12:00:00+00:00,631.3,high,zigzag_pct5.0,1.0,1663
2016-09-11 18:00:00+00:00,591.8,low,zigzag_pct5.0,1.0,1676
2016-10-29 12:00:00+00:00,725.64,high,zigzag_pct5.0,1.0,1867
2016-10-31 00:00:00+00:00,681.01,low,zigzag_pct5.0,1.0,1873
2016-11-03 00:00:00+00:00,746.16,high,zigzag_pct5.0,1.0,1885
2016-11-03 18:00:00+00:00,672.06,low,zigzag_pct5.0,1.0,1888
